Date,Open,High,Low,Close,Volume
30-Dec-13,10.44,10.44,10.44,10.44,1500
16-Dec-13,10.32,10.32,10.32,10.32,500
29-Nov-13,10.32,10.32,10.32,10.32,500
25-Nov-13,11.54,11.54,11.54,11.54,100
15-Nov-13,10.32,10.32,10.32,10.32,100
14-Nov-13,10.32,10.32,10.32,10.32,100
13-Nov-13,10.33,10.33,10.32,10.32,500
12-Nov-13,10.35,10.35,10.35,10.35,100
11-Nov-13,10.32,10.32,10.32,10.32,200
5-Nov-13,10.30,10.30,10.30,10.30,500
29-Oct-13,10.32,10.34,10.27,10.27,500
28-Oct-13,10.23,10.23,10.23,10.23,202
25-Oct-13,10.32,10.39,10.28,10.36,10300
24-Oct-13,10.28,10.36,10.23,10.29,16594
23-Oct-13,10.35,10.40,10.28,10.33,24791
24-Sep-13,10.22,10.24,10.22,10.24,3000
23-Sep-13,10.15,10.15,10.15,10.15,50000
17-Sep-13,10.13,10.13,10.13,10.13,1098
13-Sep-13,10.13,10.13,10.13,10.13,600
3-Sep-13,10.10,10.10,10.10,10.10,690
30-Aug-13,10.10,10.10,10.10,10.10,200
27-Aug-13,10.13,10.13,10.10,10.10,2440
21-Aug-13,10.12,10.12,10.12,10.12,310
20-Aug-13,10.14,10.14,10.14,10.14,250
16-Aug-13,10.10,10.13,10.10,10.13,640
13-Aug-13,10.10,10.10,10.10,10.10,500
31-Jul-13,10.11,10.11,10.11,10.11,150000
22-Jul-13,10.10,10.20,10.10,10.20,100100
9-Jul-13,10.11,10.34,10.11,10.16,800
8-Jul-13,10.20,10.50,10.20,10.23,960
17-Jun-13,10.15,10.20,10.15,10.20,1900
13-Jun-13,10.09,10.09,10.08,10.09,100200
10-Jun-13,10.05,10.05,10.05,10.05,100
6-Jun-13,10.05,10.05,10.05,10.05,100
5-Jun-13,10.05,10.06,10.05,10.06,101300
14-May-13,10.15,10.15,10.15,10.15,100
13-May-13,10.06,10.06,10.06,10.06,300
22-Apr-13,10.05,10.05,10.05,10.05,400
19-Apr-13,10.16,10.17,10.05,10.05,1100
17-Apr-13,10.08,10.08,9.99,10.00,28494
16-Apr-13,10.15,10.18,10.09,10.09,600
8-Apr-13,10.02,10.14,10.02,10.14,200
28-Mar-13,10.14,10.14,10.14,10.14,100
26-Mar-13,10.02,10.02,10.02,10.02,4000
22-Mar-13,10.09,10.09,10.07,10.08,2300
20-Mar-13,10.02,10.02,10.02,10.02,100
12-Mar-13,10.03,10.03,10.03,10.03,147
25-Feb-13,10.11,10.11,10.11,10.11,100
22-Feb-13,10.01,10.01,10.01,10.01,1000
4-Feb-13,10.03,10.03,10.03,10.03,1000
1-Feb-13,10.00,10.00,10.00,10.00,400
28-Jan-13,10.04,10.04,10.04,10.04,3190
24-Jan-13,10.01,10.01,10.01,10.01,5000
23-Jan-13,10.00,10.01,10.00,10.01,1500
22-Jan-13,10.04,10.04,10.04,10.04,100
16-Jan-13,10.01,10.09,10.00,10.09,6100
15-Jan-13,10.04,10.04,10.04,10.04,100
11-Jan-13,10.01,10.07,9.95,10.07,17704
10-Jan-13,10.08,10.08,10.01,10.06,509
9-Jan-13,10.03,10.05,10.03,10.05,400
7-Jan-13,10.03,10.03,10.03,10.03,140
4-Jan-13,10.01,10.01,10.01,10.01,200
3-Jan-13,10.00,10.09,10.00,10.00,1978
31-Dec-12,10.08,10.08,10.00,10.05,500
28-Dec-12,10.00,10.02,9.98,10.01,5100
27-Dec-12,10.00,10.08,10.00,10.01,700
26-Dec-12,10.00,10.08,10.00,10.08,200
24-Dec-12,10.03,10.03,10.03,10.03,200
21-Dec-12,10.01,10.08,9.99,10.00,106800
20-Dec-12,10.02,10.03,10.02,10.03,1800
19-Dec-12,10.00,10.03,10.00,10.03,3500
18-Dec-12,10.00,10.03,10.00,10.00,104400
17-Dec-12,10.00,10.02,10.00,10.00,605100
14-Dec-12,10.00,10.03,9.99,10.00,1453620
