Date,Open,High,Low,Close,Volume
27-Dec-13,7.70,7.81,7.70,7.81,2734
23-Dec-13,7.51,7.51,7.51,7.51,189
20-Dec-13,7.50,7.50,7.50,7.50,1093
19-Dec-13,7.45,7.58,7.45,7.50,2613
18-Dec-13,7.60,7.70,7.60,7.70,1414
17-Dec-13,7.50,7.50,7.50,7.50,1909
16-Dec-13,7.69,7.69,7.50,7.62,4364
12-Dec-13,7.70,7.70,7.68,7.68,2500
11-Dec-13,7.73,7.73,7.65,7.65,2663
10-Dec-13,7.61,7.62,7.61,7.62,400
9-Dec-13,7.70,7.70,7.65,7.65,2219
6-Dec-13,7.70,7.74,7.70,7.70,1100
5-Dec-13,7.63,7.85,7.63,7.70,6046
4-Dec-13,7.72,7.72,7.60,7.60,8209
3-Dec-13,7.85,7.85,7.75,7.75,835
27-Nov-13,8.01,8.05,7.74,7.76,3997
26-Nov-13,7.69,8.00,7.65,7.76,26246
25-Nov-13,7.70,7.70,7.50,7.66,7100
22-Nov-13,7.54,7.65,7.50,7.65,3320
19-Nov-13,7.60,7.60,7.45,7.45,6409
18-Nov-13,7.58,7.68,7.32,7.37,700
15-Nov-13,6.95,7.65,6.95,7.50,31142
14-Nov-13,6.95,6.96,6.95,6.95,700
13-Nov-13,6.85,7.00,6.85,7.00,2586
12-Nov-13,6.87,6.87,6.85,6.85,500
11-Nov-13,6.84,6.84,6.84,6.84,200
8-Nov-13,6.75,6.75,6.71,6.71,1000
7-Nov-13,6.68,6.98,6.68,6.98,350
6-Nov-13,6.98,7.00,6.76,7.00,8800
5-Nov-13,6.95,6.95,6.79,6.80,10842
4-Nov-13,6.99,6.99,6.67,6.70,11582
1-Nov-13,6.92,6.95,6.75,6.95,7090
31-Oct-13,6.96,7.00,6.95,6.95,700
30-Oct-13,6.66,6.68,6.66,6.68,230
29-Oct-13,6.69,6.69,6.65,6.65,297
28-Oct-13,6.78,6.78,6.60,6.60,1500
25-Oct-13,6.92,6.92,6.75,6.75,2038
24-Oct-13,6.92,6.92,6.87,6.87,700
23-Oct-13,6.87,6.87,6.65,6.65,3318
22-Oct-13,7.00,7.00,7.00,7.00,2100
