Date,Open,High,Low,Close,Volume
31-Dec-13,13.01,13.07,13.01,13.05,6779
27-Dec-13,13.00,13.24,13.00,13.24,5334
26-Dec-13,12.92,12.92,12.91,12.91,234
24-Dec-13,13.04,13.11,12.91,13.05,11457
23-Dec-13,13.24,13.24,13.24,13.24,988
20-Dec-13,12.94,13.10,12.92,13.10,11662
19-Dec-13,13.08,13.10,13.06,13.08,6747
17-Dec-13,13.10,13.10,13.10,13.10,1027
16-Dec-13,12.80,13.10,12.80,13.10,5738
13-Dec-13,13.00,13.00,12.99,13.00,3147
12-Dec-13,13.00,13.00,12.80,13.00,2300
11-Dec-13,12.67,12.67,12.67,12.67,234
9-Dec-13,12.45,12.79,12.45,12.77,4804
6-Dec-13,12.74,13.05,12.74,13.05,15773
4-Dec-13,12.56,13.07,12.56,13.05,21706
3-Dec-13,12.51,12.51,12.51,12.51,300
2-Dec-13,12.55,12.55,12.55,12.55,301
29-Nov-13,12.61,12.61,12.61,12.61,300
27-Nov-13,12.39,12.39,12.39,12.39,300
26-Nov-13,12.31,12.57,12.30,12.50,4772
25-Nov-13,12.18,12.62,12.18,12.51,5500
22-Nov-13,12.07,12.30,11.99,12.19,5754
21-Nov-13,12.39,12.39,12.39,12.39,202
19-Nov-13,11.75,11.78,11.50,11.78,8166
15-Nov-13,12.19,12.19,12.00,12.00,2640
14-Nov-13,12.45,12.46,12.19,12.19,9870
13-Nov-13,12.52,12.52,12.28,12.45,6958
12-Nov-13,12.72,12.72,12.41,12.41,17563
11-Nov-13,12.58,12.84,12.50,12.84,2427
8-Nov-13,12.50,12.73,12.50,12.53,527
7-Nov-13,12.72,12.72,12.45,12.45,4813
6-Nov-13,12.59,12.70,12.46,12.65,801
5-Nov-13,12.87,12.87,12.49,12.60,2399
4-Nov-13,12.86,12.88,12.45,12.67,3412
1-Nov-13,12.75,12.89,12.75,12.88,5596
31-Oct-13,12.63,12.85,12.45,12.83,2502
30-Oct-13,12.57,12.82,12.45,12.82,1839
29-Oct-13,12.59,12.90,12.50,12.82,1274
28-Oct-13,12.90,12.90,12.56,12.56,304
25-Oct-13,12.78,12.78,12.52,12.56,500
24-Oct-13,12.48,12.76,12.48,12.72,4349
23-Oct-13,12.27,12.75,12.27,12.60,1000
22-Oct-13,12.52,12.52,12.45,12.47,1510
21-Oct-13,12.38,12.38,12.38,12.38,200
18-Oct-13,12.41,12.76,12.40,12.45,5649
17-Oct-13,12.65,12.65,12.43,12.58,700
16-Oct-13,12.34,12.70,12.30,12.56,801
15-Oct-13,12.44,12.83,12.37,12.37,1249
14-Oct-13,12.24,12.33,12.00,12.30,4509
11-Oct-13,11.85,12.25,11.85,11.85,1756
10-Oct-13,11.88,12.14,11.85,12.10,1000
9-Oct-13,11.88,11.88,11.88,11.88,100
8-Oct-13,11.90,11.90,11.85,11.85,200
7-Oct-13,11.91,11.91,11.60,11.88,1415
3-Oct-13,11.50,11.58,11.50,11.58,513
2-Oct-13,11.60,11.99,11.53,11.53,4916
1-Oct-13,11.83,11.94,11.53,11.53,1373
30-Sep-13,11.79,11.79,11.58,11.63,1100
27-Sep-13,11.34,11.50,11.15,11.50,5660
25-Sep-13,11.45,11.80,11.15,11.17,6969
23-Sep-13,11.50,11.62,11.50,11.62,400
20-Sep-13,11.50,11.50,11.46,11.46,6208
19-Sep-13,11.95,11.95,11.95,11.95,100
18-Sep-13,11.65,11.89,11.60,11.89,77702
17-Sep-13,11.73,11.73,11.55,11.56,4071
16-Sep-13,11.87,11.93,11.85,11.85,414
13-Sep-13,11.95,11.95,11.75,11.84,2092
12-Sep-13,11.76,11.96,11.75,11.77,2391
11-Sep-13,11.96,11.96,11.75,11.75,300
10-Sep-13,11.85,12.18,11.75,11.75,800
9-Sep-13,11.75,11.97,11.75,11.87,700
6-Sep-13,11.99,11.99,11.99,11.99,2149
5-Sep-13,11.85,11.99,11.85,11.97,2300
4-Sep-13,12.21,12.21,11.74,11.82,302
3-Sep-13,12.20,12.27,12.20,12.27,324
29-Aug-13,12.30,12.30,12.30,12.30,100
27-Aug-13,12.01,12.01,12.01,12.01,1700
26-Aug-13,11.64,12.10,11.64,12.01,6088
23-Aug-13,11.97,12.08,11.70,11.70,2372
21-Aug-13,11.71,11.88,11.71,11.88,200
19-Aug-13,12.01,12.07,12.01,12.01,1026
16-Aug-13,11.79,11.91,11.55,11.55,3988
15-Aug-13,11.65,11.90,11.65,11.79,1000
14-Aug-13,12.23,12.23,12.23,12.23,100
13-Aug-13,12.27,12.27,12.27,12.27,210
12-Aug-13,12.39,12.39,12.39,12.39,100
9-Aug-13,12.03,12.39,11.67,11.98,1800
8-Aug-13,11.99,12.05,11.80,12.00,13502
7-Aug-13,11.66,11.73,11.66,11.71,2193
6-Aug-13,11.70,11.74,11.70,11.74,650
5-Aug-13,12.00,12.00,11.75,11.95,692
2-Aug-13,11.76,11.91,11.66,11.91,836
1-Aug-13,11.73,11.96,11.73,11.91,400
31-Jul-13,11.66,11.90,11.63,11.64,2106
30-Jul-13,11.98,11.98,11.98,11.98,100
29-Jul-13,11.88,11.94,11.88,11.94,200
26-Jul-13,11.97,11.97,11.97,11.97,100
25-Jul-13,11.52,11.70,11.50,11.50,1000
24-Jul-13,11.50,11.80,11.50,11.52,1776
23-Jul-13,11.92,12.27,11.36,11.53,5987
22-Jul-13,12.00,12.64,11.95,11.95,2617
19-Jul-13,12.30,12.33,12.28,12.28,1829
